action,frequency
notPickedPackageReason,40
updateDeliverAddressCart,39
changeCustomerTel,38
changeReturnStation,37
changeReturnCart,37
shopRequestChangePickAddress,37
changeReturnAddress,37
exportBigSizePickingPackages,28
updateReturnShiftPackage,28
removePackagesFromPPBag,28
editHamletAddressPackage,26
changeDeliverCodAction,25
changeStation,25
feedbackUrgeReturnPackage,24
CustomerComponent::changeCustomerTel,20
notDeliveredPackageReason,18
TakePhotoReturningInvalid,17
updatePartDeliveredByPostOffice,16
updateIsFreeship,15
updatePickShiftPackageSentAtPO,14
TakeAdditionalPhotoAppearancePackageSuccess,14
updateWeight,14
shopSigningHandover,11
shopRequestChangeCusName,10
updateToReturningStatus,9
shopRequestChangeCusTel,9
RequestRedeliverAction,8
updatePickWorkshiftByCod,7
takeOutOnePackageFromBag,5
blockPutToBag,5
updateNotDeliveredByPostOffice,5
TakeAdditionalPhotoAppearancePackageFailed,4
CODUpdatePickMoney,4
assignDeliverCodForPackage,4
createIssueForDteam,4
TakeAPhotoFullDelivery,4
applyDiscountCoupon,3
changePickAddress,3
updateDelayDeliveringByPostOffice,3
LosePackageByPostOffice,2
returnPackageAtStation,2
putPackages2QsBag,2
changePackagesTransport,1
exportBigSizeReturnPackages,1
cancelNewPackage,1
